part,n_subject,coef_type,rho_true,rep,seed
3,5000,base4,0.6,2,131
3,5000,base4,0.9,0,129
3,5000,base4,0.9,1,130
3,5000,base4,0.9,2,131
4,5000,base2,0.3,1,133
4,5000,base2,0.3,2,134
4,5000,base2,0.6,0,132
4,5000,base2,0.6,1,133
4,5000,base2,0.6,2,134
4,5000,base2,0.9,0,132
4,5000,base2,0.9,1,133
4,5000,base2,0.9,2,134
4,5000,base3,0,0,132
4,5000,base3,0,1,133
4,5000,base3,0,2,134
4,5000,base3,0.3,0,132
4,5000,base3,0.3,1,133
4,5000,base3,0.3,2,134
4,5000,base3,0.6,0,132
4,5000,base3,0.6,1,133
4,5000,base3,0.6,2,134
4,5000,base3,0.9,0,132
4,5000,base3,0.9,1,133
4,5000,base3,0.9,2,134
4,5000,base4,0,0,132
4,5000,base4,0,1,133
4,5000,base4,0,2,134
4,5000,base4,0.3,0,132
4,5000,base4,0.3,1,133
4,5000,base4,0.3,2,134
4,5000,base4,0.6,0,132
4,5000,base4,0.6,1,133
4,5000,base4,0.6,2,134
4,5000,base4,0.9,0,132
4,5000,base4,0.9,1,133
4,5000,base4,0.9,2,134
5,5000,base2,0.9,2,137
5,5000,base3,0,0,135
5,5000,base3,0,1,136
5,5000,base3,0,2,137
5,5000,base3,0.3,0,135
5,5000,base3,0.3,1,136
5,5000,base3,0.3,2,137
5,5000,base3,0.6,0,135
5,5000,base3,0.6,1,136
5,5000,base3,0.6,2,137
5,5000,base3,0.9,0,135
5,5000,base3,0.9,1,136
5,5000,base3,0.9,2,137
5,5000,base4,0,0,135
5,5000,base4,0,1,136
5,5000,base4,0,2,137
5,5000,base4,0.3,0,135
5,5000,base4,0.3,1,136
5,5000,base4,0.3,2,137
5,5000,base4,0.6,0,135
5,5000,base4,0.6,1,136
5,5000,base4,0.6,2,137
5,5000,base4,0.9,0,135
5,5000,base4,0.9,1,136
5,5000,base4,0.9,2,137
6,5000,base2,0,0,138
6,5000,base2,0,2,140
6,5000,base2,0.3,2,140
6,5000,base2,0.6,0,138
6,5000,base2,0.6,1,139
6,5000,base2,0.6,2,140
6,5000,base2,0.9,0,138
6,5000,base2,0.9,1,139
6,5000,base2,0.9,2,140
6,5000,base3,0,0,138
6,5000,base3,0,1,139
6,5000,base3,0,2,140
6,5000,base3,0.3,0,138
6,5000,base3,0.3,1,139
6,5000,base3,0.3,2,140
6,5000,base3,0.6,0,138
6,5000,base3,0.6,1,139
6,5000,base3,0.6,2,140
6,5000,base3,0.9,0,138
6,5000,base3,0.9,1,139
6,5000,base3,0.9,2,140
6,5000,base4,0,0,138
6,5000,base4,0,1,139
6,5000,base4,0,2,140
6,5000,base4,0.3,0,138
6,5000,base4,0.3,1,139
6,5000,base4,0.3,2,140
6,5000,base4,0.6,0,138
6,5000,base4,0.6,1,139
6,5000,base4,0.6,2,140
6,5000,base4,0.9,0,138
6,5000,base4,0.9,1,139
6,5000,base4,0.9,2,140
7,5000,base3,0.3,0,141
7,5000,base3,0.3,1,142
7,5000,base3,0.3,2,143
7,5000,base3,0.6,0,141
7,5000,base3,0.6,1,142
7,5000,base3,0.6,2,143
7,5000,base3,0.9,0,141
7,5000,base3,0.9,1,142
7,5000,base3,0.9,2,143
7,5000,base4,0,0,141
7,5000,base4,0,1,142
7,5000,base4,0,2,143
7,5000,base4,0.3,0,141
7,5000,base4,0.3,1,142
7,5000,base4,0.3,2,143
7,5000,base4,0.6,0,141
7,5000,base4,0.6,1,142
7,5000,base4,0.6,2,143
7,5000,base4,0.9,0,141
7,5000,base4,0.9,1,142
7,5000,base4,0.9,2,143
8,5000,base3,0,1,145
8,5000,base3,0,2,146
8,5000,base3,0.3,0,144
8,5000,base3,0.3,1,145
8,5000,base3,0.3,2,146
8,5000,base3,0.6,0,144
8,5000,base3,0.6,1,145
8,5000,base3,0.6,2,146
8,5000,base3,0.9,0,144
8,5000,base3,0.9,1,145
8,5000,base3,0.9,2,146
8,5000,base4,0,0,144
8,5000,base4,0,1,145
8,5000,base4,0,2,146
8,5000,base4,0.3,0,144
8,5000,base4,0.3,1,145
8,5000,base4,0.3,2,146
8,5000,base4,0.6,0,144
8,5000,base4,0.6,1,145
8,5000,base4,0.6,2,146
8,5000,base4,0.9,0,144
8,5000,base4,0.9,1,145
8,5000,base4,0.9,2,146
